entity_id,domain,state,area_id,area_name,friendly_name,restored,device_id,device_name,manufacturer,model,integration,classification,rationale
binary_sensor.curtain_3_66e9_calibration,binary_sensor,on,suite_bedroom,suite bedroom,Curtain 3 66E9 Calibration,False,0179c514c41d52009aead001cf33f4d6,Curtain 3 66E9,switchbot,WoCurtain,switchbot,leave on Main HA temporarily,not obviously guest-critical in first-pass migration
binary_sensor.curtain_3_8fb2_calibration,binary_sensor,unavailable,suite_bedroom,suite bedroom,Calibration,True,9f6bfac2cf7207e980383df0c0827130,Curtain 3 8FB2,switchbot,WoCurtain,switchbot,retire/review,restored unavailable entity; do not migrate blindly
binary_sensor.curtain_3_8fb2_light,binary_sensor,unavailable,suite_bedroom,suite bedroom,Light,True,9f6bfac2cf7207e980383df0c0827130,Curtain 3 8FB2,switchbot,WoCurtain,switchbot,retire/review,restored unavailable entity; do not migrate blindly
binary_sensor.curtain_3_8fb2_motion,binary_sensor,unavailable,suite_bedroom,suite bedroom,Motion,True,9f6bfac2cf7207e980383df0c0827130,Curtain 3 8FB2,switchbot,WoCurtain,switchbot,retire/review,restored unavailable entity; do not migrate blindly
binary_sensor.curtain_3_d1a0_calibration,binary_sensor,on,suite_bedroom,suite bedroom,Curtain 3 D1A0 Calibration,False,00d78d5c8988780e4c2b27b228ead849,Curtain 3 D1A0,switchbot,WoCurtain,switchbot,leave on Main HA temporarily,not obviously guest-critical in first-pass migration
binary_sensor.den_ceiling_fan_overheated,binary_sensor,off,den,Den,Den Ceiling Fan and Light Overheated,False,388b9d46c721361865875b673d35fa8b,Den Ceiling Fan and Light,TP-Link,None,tplink,leave on Main HA temporarily,not obviously guest-critical in first-pass migration
binary_sensor.den_motion,binary_sensor,off,den,Den,Den temp sensor Den Motion,False,ef74192f468d894150b2481b43696bb2,Den temp sensor,ecobee Inc.,EBERS41,homekit_controller,move to Rental HA,guest occupancy/comfort diagnostic needed for deterministic rental control
binary_sensor.den_occupancy,binary_sensor,off,den,Den,Den temp sensor Den Occupancy,False,ef74192f468d894150b2481b43696bb2,Den temp sensor,ecobee Inc.,EBERS41,homekit_controller,move to Rental HA,guest occupancy/comfort diagnostic needed for deterministic rental control
binary_sensor.den_occupancy_status,binary_sensor,unavailable,den,Den,Occupancy Status,True,d600f50bb99ff487e7bb2fed5d86fc33,Den,Hankanman,Area Occupancy Detector,area_occupancy,retire/review,restored unavailable entity; do not migrate blindly
binary_sensor.occupancy_sensor,binary_sensor,off,den,Den,Occupancy Sensor AQ2 Occupancy Sensor,False,83734e5e6d411a863da01f9bca053bff,Occupancy Sensor AQ2,Aqara,AS037,homekit_controller,move to Rental HA,guest occupancy/comfort diagnostic needed for deterministic rental control
binary_sensor.occupancy_sensor_motion_sensor,binary_sensor,off,den,Den,Occupancy Sensor AQ2 Occupancy Sensor Motion Sensor,False,83734e5e6d411a863da01f9bca053bff,Occupancy Sensor AQ2,Aqara,AS037,homekit_controller,move to Rental HA,guest occupancy/comfort diagnostic needed for deterministic rental control
binary_sensor.ohana_suite_occupied,binary_sensor,off,,,Ohana Suite Occupied,False,,,,,,leave on Main HA temporarily,not obviously guest-critical in first-pass migration
binary_sensor.rental_area_motion,binary_sensor,off,,,Rental Area Motion,False,,,,,,move to Rental HA,guest occupancy/comfort diagnostic needed for deterministic rental control
binary_sensor.rental_suite_occupied,binary_sensor,off,,,Rental Suite Occupied,False,,,,,,leave on Main HA temporarily,not obviously guest-critical in first-pass migration
binary_sensor.unnamed_ks240_cloud_connection,binary_sensor,on,den,Den,Den Ceiling Fan and Light Cloud connection,False,388b9d46c721361865875b673d35fa8b,Den Ceiling Fan and Light,TP-Link,None,tplink,leave on Main HA temporarily,not obviously guest-critical in first-pass migration
binary_sensor.unnamed_ks240_den_fanlight_overheated,binary_sensor,off,den,Den,Den Ceiling Fan and Light Overheated,False,388b9d46c721361865875b673d35fa8b,Den Ceiling Fan and Light,TP-Link,None,tplink,leave on Main HA temporarily,not obviously guest-critical in first-pass migration
button.1st_floor_guest_room_identify,button,unknown,suite_bedroom,suite bedroom,1st floor Guest Room temp sensor 1st floor Guest Room Identify,False,13b45640d9d4dea72df6981f0d25de3c,1st floor Guest Room temp sensor,ecobee Inc.,EBERS41,homekit_controller,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.contact_sensor_identify,button,unknown,den,Den,Contact Sensor AQ5 Contact Sensor Identify,False,85a548fd0c6d4f9fa4fd1892f820dca4,Contact Sensor AQ5,Aqara,AS006,homekit_controller,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.contact_sensor_identify_2,button,unknown,den,Den,Contact Sensor AQ4 Contact Sensor Identify,False,304c42afb0743c175691c1ba2629fa3d,Contact Sensor AQ4,Aqara,AS006,homekit_controller,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.contact_sensor_identify_3,button,unknown,den,Den,Contact Sensor AQ1 Contact Sensor Identify,False,e42eebe2f62186df78b356869eb14a17,Contact Sensor AQ1,Aqara,AS006,homekit_controller,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.contact_sensor_identify_4,button,unknown,den,Den,Contact Sensor AQ0 rental door Contact Sensor Identify,False,92dbfd5488afc89213a2ff8e8ef6a5fd,Contact Sensor AQ0 rental door,Aqara,AS006,homekit_controller,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.contact_sensor_identify_5,button,unknown,den,Den,Contact Sensor AQ3 Contact Sensor Identify,False,c60ab6cfff40cfdb7a797c9b8a7bc6a3,Contact Sensor AQ3,Aqara,AS006,homekit_controller,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.den_bt_speaker_favorite_current_song,button,unknown,den,Den,Den BT Speaker Favorite current song,False,b94262d2e64001907cedfa6be395c399,Den BT Speaker,Google Inc.,Nest Audio,music_assistant,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.den_ceiling_fan_restart,button,missing,den,Den,Restart,False,388b9d46c721361865875b673d35fa8b,Den Ceiling Fan and Light,TP-Link,None,tplink,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.den_ceiling_fan_restart_2,button,missing,den,Den,Restart,False,388b9d46c721361865875b673d35fa8b,Den Ceiling Fan and Light,TP-Link,None,tplink,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.den_identify,button,unknown,den,Den,Den temp sensor Den Identify,False,ef74192f468d894150b2481b43696bb2,Den temp sensor,ecobee Inc.,EBERS41,homekit_controller,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.guest_suite_bedroom_pico_left_lower,button,missing,suite_bedroom,suite bedroom,Guest Suite Bedroom Pico Left Lower,False,81ec4fa07651d9bb7d286b47bf17573a,Suite Pico Wall Remote,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),lutron_caseta,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.guest_suite_bedroom_pico_left_off,button,missing,suite_bedroom,suite bedroom,Guest Suite Bedroom Pico Left Off,False,81ec4fa07651d9bb7d286b47bf17573a,Suite Pico Wall Remote,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),lutron_caseta,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.guest_suite_bedroom_pico_left_on,button,missing,suite_bedroom,suite bedroom,Guest Suite Bedroom Pico Left On,False,81ec4fa07651d9bb7d286b47bf17573a,Suite Pico Wall Remote,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),lutron_caseta,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.guest_suite_bedroom_pico_left_raise,button,missing,suite_bedroom,suite bedroom,Guest Suite Bedroom Pico Left Raise,False,81ec4fa07651d9bb7d286b47bf17573a,Suite Pico Wall Remote,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),lutron_caseta,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.guest_suite_bedroom_pico_left_stop,button,missing,suite_bedroom,suite bedroom,Guest Suite Bedroom Pico Left Stop,False,81ec4fa07651d9bb7d286b47bf17573a,Suite Pico Wall Remote,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),lutron_caseta,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.guest_suite_bedroom_pico_right_lower,button,missing,suite_bedroom,suite bedroom,Guest Suite Bedroom Pico Right Lower,False,b940a22939d949b1c60accf7b73c91c9,Suite Bedroom Pico 1,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),lutron_caseta,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.guest_suite_bedroom_pico_right_off,button,missing,suite_bedroom,suite bedroom,Guest Suite Bedroom Pico Right Off,False,b940a22939d949b1c60accf7b73c91c9,Suite Bedroom Pico 1,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),lutron_caseta,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.guest_suite_bedroom_pico_right_on,button,missing,suite_bedroom,suite bedroom,Guest Suite Bedroom Pico Right On,False,b940a22939d949b1c60accf7b73c91c9,Suite Bedroom Pico 1,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),lutron_caseta,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.guest_suite_bedroom_pico_right_raise,button,missing,suite_bedroom,suite bedroom,Guest Suite Bedroom Pico Right Raise,False,b940a22939d949b1c60accf7b73c91c9,Suite Bedroom Pico 1,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),lutron_caseta,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.guest_suite_bedroom_pico_right_stop,button,missing,suite_bedroom,suite bedroom,Guest Suite Bedroom Pico Right Stop,False,b940a22939d949b1c60accf7b73c91c9,Suite Bedroom Pico 1,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),lutron_caseta,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.occupancy_sensor_identify,button,unknown,den,Den,Occupancy Sensor AQ2 Occupancy Sensor Identify,False,83734e5e6d411a863da01f9bca053bff,Occupancy Sensor AQ2,Aqara,AS037,homekit_controller,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.plate01_restart,button,unavailable,suite_bedroom,suite bedroom,plate01 restart,True,07024525f66e4056aed38a633bfed2ce,plate01,openHASP,Lanbon L8,openhasp,repair before split,restored stale openHASP or abandoned hardware path
button.suite_speaker_favorite_current_song,button,unknown,suite_bedroom,suite bedroom,Suite Speaker Favorite current song,False,4ac5383907cb21d30e3a191f7631c04d,Suite Speaker,Google Inc.,Google Nest Mini,music_assistant,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.unassigned_table_lamps_remote_1_lower,button,missing,suite_bedroom,suite bedroom,Unassigned Table Lamps Remote 1 Lower,False,cf5db3f6f29ad308a4015522247be7c0,Suite Pico Remote 2,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),lutron_caseta,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.unassigned_table_lamps_remote_1_off,button,missing,suite_bedroom,suite bedroom,Unassigned Table Lamps Remote 1 Off,False,cf5db3f6f29ad308a4015522247be7c0,Suite Pico Remote 2,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),lutron_caseta,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.unassigned_table_lamps_remote_1_on,button,missing,suite_bedroom,suite bedroom,Unassigned Table Lamps Remote 1 On,False,cf5db3f6f29ad308a4015522247be7c0,Suite Pico Remote 2,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),lutron_caseta,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.unassigned_table_lamps_remote_1_raise,button,missing,suite_bedroom,suite bedroom,Unassigned Table Lamps Remote 1 Raise,False,cf5db3f6f29ad308a4015522247be7c0,Suite Pico Remote 2,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),lutron_caseta,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.unassigned_table_lamps_remote_1_stop,button,missing,suite_bedroom,suite bedroom,Unassigned Table Lamps Remote 1 Stop,False,cf5db3f6f29ad308a4015522247be7c0,Suite Pico Remote 2,"Lutron Electronics Co., Inc",PJ2-3BRL-GXX-X01 (Pico3ButtonRaiseLower),lutron_caseta,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
button.unnamed_ks240_restart,button,missing,den,Den,Restart,False,388b9d46c721361865875b673d35fa8b,Den Ceiling Fan and Light,TP-Link,None,tplink,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
camera.den_doorbell,camera,streaming,outside,Rear Driveway,Den doorbell,False,55d2af46e0b5a4c7b752cc92d9186181,Den doorbell,Google Nest,Doorbell,nest,move to Rental HA,guest-facing control or comfort entity
climate.suite_thermostat,climate,heat_cool,living_room,Living Room,Suite Thermostat,False,8ef8af83c728e3780d5994b56ee011cb,Suite Thermostat,ecobee Inc.,ecobee3 lite,homekit_controller,move to Rental HA,guest-facing control or comfort entity
cover.curtain_3_4616,cover,unavailable,suite_bedroom,suite bedroom,,True,5bc5442a88af37161741a5bc74078dca,ELK BT LED1,ELK-BLEDOM,RGB Controller,switchbot,retire/review,restored unavailable entity; do not migrate blindly
cover.curtain_3_66e9,cover,closed,suite_bedroom,suite bedroom,Curtain 3 66E9,False,0179c514c41d52009aead001cf33f4d6,Curtain 3 66E9,switchbot,WoCurtain,switchbot,move to Rental HA,guest-facing control or comfort entity
cover.curtain_3_8fb2,cover,unavailable,suite_bedroom,suite bedroom,,True,9f6bfac2cf7207e980383df0c0827130,Curtain 3 8FB2,switchbot,WoCurtain,switchbot,retire/review,restored unavailable entity; do not migrate blindly
cover.curtain_3_d1a0,cover,closed,suite_bedroom,suite bedroom,Curtain 3 D1A0,False,00d78d5c8988780e4c2b27b228ead849,Curtain 3 D1A0,switchbot,WoCurtain,switchbot,move to Rental HA,guest-facing control or comfort entity
device_tracker.ks240,device_tracker,home,den,Den,Den Ceiling Fan and Light KS240,False,388b9d46c721361865875b673d35fa8b,Den Ceiling Fan and Light,TP-Link,None,unifi,leave on Main HA temporarily,not obviously guest-critical in first-pass migration
device_tracker.suitebed_plate01,device_tracker,home,suite_bedroom,suite bedroom,plate01 suitebed plate01,False,07024525f66e4056aed38a633bfed2ce,plate01,openHASP,Lanbon L8,unifi,move to Rental HA,guest-facing control or comfort entity
event.den_hall_dimmer_switch_button_1,event,2026-05-31T06:35:14.079+00:00,den,Den,Den Hall Dimmer Switch Button 1,False,b743838ce1b9239981606f185b5c0447,Den Hall Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,hue,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
event.den_hall_dimmer_switch_button_2,event,2026-05-31T00:34:48.660+00:00,den,Den,Den Hall Dimmer Switch Button 2,False,b743838ce1b9239981606f185b5c0447,Den Hall Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,hue,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
event.den_hall_dimmer_switch_button_3,event,2026-05-30T23:27:01.380+00:00,den,Den,Den Hall Dimmer Switch Button 3,False,b743838ce1b9239981606f185b5c0447,Den Hall Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,hue,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
event.den_hall_dimmer_switch_button_4,event,2026-05-17T01:09:22.241+00:00,den,Den,Den Hall Dimmer Switch Button 4,False,b743838ce1b9239981606f185b5c0447,Den Hall Dimmer Switch,Signify Netherlands B.V.,Hue dimmer switch,hue,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
fan.ceiling_fan_and_light,fan,missing,suite_bedroom,suite bedroom,,False,35d55a1cbf882cdcd6eda8de79818614,Ceiling fan and Light,Olibra,,bond,move to Rental HA,guest-facing control or comfort entity
fan.den_ceiling_fan,fan,on,den,Den,Den Ceiling Fan,False,388b9d46c721361865875b673d35fa8b,Den Ceiling Fan and Light,TP-Link,None,tplink,move to Rental HA,guest-facing control or comfort entity
fan.suite_bed_fan,fan,on,suite_bedroom,suite bedroom,Suite Bed Fan,False,8964cd40916bdff426488e81a9161c49,Suite Bed Fan,Tuya,KBS DC FAN 3S,tuya,move to Rental HA,guest-facing control or comfort entity
input_boolean.room_automation_enabled_ohana_suite,input_boolean,off,,,Ohana Suite Automation Enabled,False,,,,,,move to Rental HA,room contract/control surface should live with the rental instance
input_boolean.room_manual_hold_ohana_suite,input_boolean,off,,,Ohana Suite Manual Hold,False,,,,,,move to Rental HA,room contract/control surface should live with the rental instance
input_select.room_scene_ohana_suite,input_select,Auto,,,Ohana Suite Scene,False,,,,,,move to Rental HA,room contract/control surface should live with the rental instance
light.den,light,missing,den,Den,,False,5c32a81bd6403649f85bb1ea1bd55390,Den,Signify Netherlands B.V.,Room,hue,move to Rental HA,guest-facing control or comfort entity
light.den_hall,light,off,den,Den,Den Hall,False,19544d22587d3d418ea95c9d39152ecc,Den Hall,Signify Netherlands B.V.,Hue color lamp,hue,move to Rental HA,guest-facing control or comfort entity
light.den_lights,light,on,,,Den Lights,False,,,,,group,move to Rental HA,guest-facing control or comfort entity
light.den_rotary_dimmer_light,light,unavailable,den,Den,Den Rotary Dimmer Light 1,False,043197ccc04bd377be907e4aebf5d20e,Den Rotary Dimmer,Tuya,Smart Dimmer Switch,tuya,repair before split,hardware or integration exists but current HA binding is unhealthy
light.plate01_backlight,light,unavailable,suite_bedroom,suite bedroom,plate01 backlight,True,07024525f66e4056aed38a633bfed2ce,plate01,openHASP,Lanbon L8,openhasp,repair before split,restored stale openHASP or abandoned hardware path
light.plate01_light_12,light,unavailable,suite_bedroom,suite bedroom,plate01 light 12,True,07024525f66e4056aed38a633bfed2ce,plate01,openHASP,Lanbon L8,openhasp,repair before split,restored stale openHASP or abandoned hardware path
light.plate01_light_14,light,unavailable,suite_bedroom,suite bedroom,plate01 light 14,True,07024525f66e4056aed38a633bfed2ce,plate01,openHASP,Lanbon L8,openhasp,repair before split,restored stale openHASP or abandoned hardware path
light.plate01_light_27,light,unavailable,suite_bedroom,suite bedroom,plate01 light 27,True,07024525f66e4056aed38a633bfed2ce,plate01,openHASP,Lanbon L8,openhasp,repair before split,restored stale openHASP or abandoned hardware path
light.plate01_moodlight,light,unavailable,suite_bedroom,suite bedroom,plate01 moodlight,True,07024525f66e4056aed38a633bfed2ce,plate01,openHASP,Lanbon L8,openhasp,repair before split,restored stale openHASP or abandoned hardware path
light.suite_bed_fan,light,on,suite_bedroom,suite bedroom,Suite Bed Fan,False,8964cd40916bdff426488e81a9161c49,Suite Bed Fan,Tuya,KBS DC FAN 3S,tuya,move to Rental HA,guest-facing control or comfort entity
light.suite_bedroom_scones,light,on,suite_bedroom,suite bedroom,Suite Bedroom Scones Guest Suite Bedroom Table Lamps,False,dbc64dd14df85989ceeef7184bfaffd8,Suite Bedroom Scones,"Lutron Electronics Co., Inc",PD-3PCL-WH (PlugInDimmer),lutron_caseta,move to Rental HA,guest-facing control or comfort entity
light.suite_guest_bed,light,on,suite_guest_bed,Suite Guest Bed,Suite Guest Bed,False,2dc244f2bfac93851d4e83e899b81aec,Suite Guest Bed,Signify Netherlands B.V.,Room,hue,move to Rental HA,guest-facing control or comfort entity
light.suite_lights,light,on,,,Suite Lights,False,,,,,group,move to Rental HA,guest-facing control or comfort entity
light.unnamed_ks240_den_fanlight,light,on,den,Den,Den Fan Light,False,388b9d46c721361865875b673d35fa8b,Den Ceiling Fan and Light,TP-Link,None,tplink,move to Rental HA,guest-facing control or comfort entity
media_player.den_bt_speaker,media_player,off,den,Den,Den BT Speaker,False,580998062bf98a2b441d58620f416e2d,Den BT Speaker,Google Inc.,Nest Audio,cast,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
media_player.den_bt_speaker_2,media_player,idle,den,Den,Den BT Speaker,False,b94262d2e64001907cedfa6be395c399,Den BT Speaker,Google Inc.,Nest Audio,music_assistant,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
media_player.den_tv,media_player,unavailable,den,Den,,True,398303357c6fafea8c32da79b43f1547,Den TV,Google Inc.,Chromecast,cast,retire/review,restored unavailable entity; do not migrate blindly
media_player.suite_speaker,media_player,off,suite_bedroom,suite bedroom,Suite Speaker,False,53be5e147da1f115f7ec8b1d9fa3d014,Suite Speaker,Google Inc.,Google Nest Mini,cast,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
media_player.suite_speaker_2,media_player,idle,suite_bedroom,suite bedroom,Suite Speaker,False,4ac5383907cb21d30e3a191f7631c04d,Suite Speaker,Google Inc.,Google Nest Mini,music_assistant,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
number.den_den_impact_sprinkler_controller_irrigation_duration,number,unavailable,den,Den,Den Impact Sprinkler Controller Irrigation duration,False,a10fdfdf62cd373b83765e50b164d98b,Den Impact Sprinkler Controller,Tuya,Valve Controller,tuya,repair before split,hardware or integration exists but current HA binding is unhealthy
number.den_rotary_dimmer_minimum_brightness,number,unavailable,den,Den,Den Rotary Dimmer Minimum brightness 1,False,043197ccc04bd377be907e4aebf5d20e,Den Rotary Dimmer,Tuya,Smart Dimmer Switch,tuya,repair before split,hardware or integration exists but current HA binding is unhealthy
number.den_threshold,number,unavailable,den,Den,Threshold,True,d600f50bb99ff487e7bb2fed5d86fc33,Den,Hankanman,Area Occupancy Detector,area_occupancy,retire/review,restored unavailable entity; do not migrate blindly
number.plate01_page_number,number,unavailable,suite_bedroom,suite bedroom,plate01 Page Number,True,07024525f66e4056aed38a633bfed2ce,plate01,openHASP,Lanbon L8,openhasp,repair before split,restored stale openHASP or abandoned hardware path
number.unnamed_ks240_den_fanlight_smooth_off,number,1,den,Den,Den Ceiling Fan and Light Smooth off,False,388b9d46c721361865875b673d35fa8b,Den Ceiling Fan and Light,TP-Link,None,tplink,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
number.unnamed_ks240_den_fanlight_smooth_on,number,1,den,Den,Den Ceiling Fan and Light Smooth on,False,388b9d46c721361865875b673d35fa8b,Den Ceiling Fan and Light,TP-Link,None,tplink,leave on Main HA temporarily,non-critical or device-management surface; migrate after owner is confirmed
scene.den_arctic_aurora,scene,unknown,den,Den,Den Arctic aurora,False,5c32a81bd6403649f85bb1ea1bd55390,Den,Signify Netherlands B.V.,Room,hue,move to Rental HA,room contract/control surface should live with the rental instance
scene.den_concentrate,scene,unknown,den,Den,Den Concentrate,False,5c32a81bd6403649f85bb1ea1bd55390,Den,Signify Netherlands B.V.,Room,hue,move to Rental HA,room contract/control surface should live with the rental instance
scene.den_crocus,scene,unknown,den,Den,Den Crocus,False,5c32a81bd6403649f85bb1ea1bd55390,Den,Signify Netherlands B.V.,Room,hue,move to Rental HA,room contract/control surface should live with the rental instance
scene.den_energize,scene,unknown,den,Den,Den Energize,False,5c32a81bd6403649f85bb1ea1bd55390,Den,Signify Netherlands B.V.,Room,hue,move to Rental HA,room contract/control surface should live with the rental instance
scene.den_galaxy,scene,unknown,den,Den,Den Galaxy,False,5c32a81bd6403649f85bb1ea1bd55390,Den,Signify Netherlands B.V.,Room,hue,move to Rental HA,room contract/control surface should live with the rental instance
scene.den_honolulu,scene,unknown,den,Den,Den Honolulu,False,5c32a81bd6403649f85bb1ea1bd55390,Den,Signify Netherlands B.V.,Room,hue,move to Rental HA,room contract/control surface should live with the rental instance
scene.den_nightlight,scene,unknown,den,Den,Den Nightlight,False,5c32a81bd6403649f85bb1ea1bd55390,Den,Signify Netherlands B.V.,Room,hue,move to Rental HA,room contract/control surface should live with the rental instance
scene.den_pandemonium,scene,unknown,den,Den,Den Pandemonium,False,5c32a81bd6403649f85bb1ea1bd55390,Den,Signify Netherlands B.V.,Room,hue,move to Rental HA,room contract/control surface should live with the rental instance
scene.den_read,scene,unknown,den,Den,Den Read,False,5c32a81bd6403649f85bb1ea1bd55390,Den,Signify Netherlands B.V.,Room,hue,move to Rental HA,room contract/control surface should live with the rental instance
scene.den_relax,scene,unknown,den,Den,Den Relax,False,5c32a81bd6403649f85bb1ea1bd55390,Den,Signify Netherlands B.V.,Room,hue,move to Rental HA,room contract/control surface should live with the rental instance
scene.den_trick_or_treat,scene,unknown,den,Den,Den Trick or treat,False,5c32a81bd6403649f85bb1ea1bd55390,Den,Signify Netherlands B.V.,Room,hue,move to Rental HA,room contract/control surface should live with the rental instance
